Município,2013,2014,2015,2016,2017
São Sebastião do Tocantins (TO),33.802,36.404,37.170,41.213,44.264
São Valério (TO),54.167,74.912,89.407,69.729,137.087
Silvanópolis (TO),78.217,104.922,114.823,115.055,148.305
Sítio Novo do Tocantins (TO),65.038,67.937,74.661,87.252,89.596
Sucupira (TO),37.139,46.224,54.742,36.642,58.862
Taguatinga (TO),193.306,208.493,265.931,218.948,230.434
Taipas do Tocantins (TO),17.366,18.739,20.313,23.378,21.997
Talismã (TO),48.192,59.776,66.286,65.840,83.396
Palmas (TO),5.794.789,6.593.224,7.394.463,8.100.689,8.503.493
Tocantínia (TO),47.927,49.172,58.998,61.070,67.831
Tocantinópolis (TO),210.670,225.046,242.602,270.686,300.131
Tupirama (TO),79.472,68.282,47.485,46.019,46.142
Tupiratins (TO),21.891,25.998,24.533,28.051,28.582
Wanderlândia (TO),125.772,134.428,138.573,154.098,161.897
Xambioá (TO),286.393,318.805,313.481,296.638,341.493
Açailândia (MA),1.567.270,1.780.203,2.015.260,2.001.694,2.202.738
Afonso Cunha (MA),27.805,35.663,36.080,35.380,44.851
Água Doce do Maranhão (MA),53.098,59.143,64.838,73.179,73.174
Alcântara (MA),87.866,100.009,104.435,117.713,116.313
Aldeias Altas (MA),114.885,170.017,208.642,169.701,174.110
Altamira do Maranhão (MA),45.859,54.920,60.097,62.801,56.338
Alto Alegre do Maranhão (MA),164.804,201.197,202.298,217.380,219.945
Alto Alegre do Pindaré (MA),134.434,135.088,145.518,176.299,181.816
Alto Parnaíba (MA),248.823,285.924,310.911,185.156,287.616
Amapá do Maranhão (MA),31.556,35.409,39.113,48.117,49.035
Amarante do Maranhão (MA),195.083,224.895,251.507,285.791,273.621
Anajatuba (MA),127.903,141.744,149.010,174.490,176.950
Anapurus (MA),107.057,127.885,109.529,132.013,135.894
Apicum-Açu (MA),74.032,87.963,90.648,104.176,104.064
Araguanã (MA),56.314,62.165,64.860,77.821,77.795
Araioses (MA),189.003,216.309,234.546,257.455,269.138
Arame (MA),160.678,178.201,180.057,222.822,211.969
Arari (MA),169.379,199.156,210.033,234.978,229.583
Axixá (MA),53.566,58.074,61.582,70.310,68.771
Bacabal (MA),880.682,1.061.251,1.017.126,1.129.029,1.133.533
Bacabeira (MA),264.817,383.232,281.332,344.801,339.375
Bacuri (MA),77.107,85.835,84.818,90.823,96.548
Bacurituba (MA),22.438,27.241,28.661,33.776,35.101
Balsas (MA),2.525.749,2.914.003,2.627.847,2.387.268,3.045.948
Barão de Grajaú (MA),130.597,165.958,190.307,230.965,210.046
Barra do Corda (MA),495.957,577.228,551.109,602.676,649.249
Barreirinhas (MA),317.002,377.514,389.696,441.930,457.836
Belágua (MA),28.215,35.589,35.840,42.166,47.588
Bela Vista do Maranhão (MA),52.078,62.480,59.913,75.614,79.653
Benedito Leite (MA),25.677,28.652,34.438,35.771,39.728
Bequimão (MA),76.447,84.630,98.839,111.637,119.026
Bernardo do Mearim (MA),39.099,45.944,45.301,49.820,49.165
Boa Vista do Gurupi (MA),38.061,47.093,55.211,56.189,61.457
Bom Jardim (MA),219.672,241.659,244.297,278.985,302.628
Bom Jesus das Selvas (MA),206.777,227.339,234.594,253.730,261.959
Bom Lugar (MA),65.701,73.250,79.867,87.120,85.887
Brejo (MA),219.982,253.370,221.320,226.563,274.024
Brejo de Areia (MA),44.160,44.315,52.915,62.470,52.039
Buriti (MA),130.280,154.220,153.571,164.186,187.543
Buriti Bravo (MA),97.853,121.819,130.033,152.613,153.791
Buriticupu (MA),386.281,434.365,473.539,491.265,496.161
Buritirana (MA),64.214,69.985,75.849,91.869,89.418
Cachoeira Grande (MA),37.388,46.185,49.531,56.397,56.990
Cajapió (MA),39.246,40.994,43.933,51.030,53.269
Cajari (MA),76.248,83.745,89.360,98.377,98.950
Campestre do Maranhão (MA),78.196,100.175,133.814,148.854,173.647
Cândido Mendes (MA),87.383,101.963,103.628,125.762,121.929
Cantanhede (MA),84.009,100.487,109.901,121.757,120.067
Capinzal do Norte (MA),63.005,79.946,82.744,111.711,131.076
Carolina (MA),230.350,259.590,285.178,242.848,308.131
Carutapera (MA),128.702,138.625,144.879,166.659,155.306
Caxias (MA),1.324.810,1.419.668,1.451.640,1.669.413,1.708.947
Cedral (MA),47.178,53.501,54.388,57.317,63.704
Central do Maranhão (MA),31.287,35.450,36.429,43.625,43.714
Centro do Guilherme (MA),55.391,61.620,62.216,70.008,71.079
Centro Novo do Maranhão (MA),98.971,111.449,117.381,141.450,140.870
Chapadinha (MA),462.806,560.481,551.380,656.552,655.648
Cidelândia (MA),98.141,127.598,129.559,134.004,128.191
Codó (MA),777.227,884.863,880.433,1.025.608,954.063
Coelho Neto (MA),254.515,322.053,350.541,376.671,337.821
Colinas (MA),247.566,287.907,304.072,300.140,321.582
Conceição do Lago-Açu (MA),81.131,88.724,95.176,108.033,97.202
Coroatá (MA),290.776,342.553,354.079,402.038,397.738
Cururupu (MA),157.226,179.723,183.721,202.342,215.857
Davinópolis (MA),64.720,120.416,418.091,717.649,623.860
Dom Pedro (MA),160.229,183.301,206.382,212.374,223.561
Duque Bacelar (MA),43.844,58.917,56.055,64.590,68.642
Esperantinópolis (MA),102.600,122.123,119.781,132.049,124.108
Estreito (MA),854.344,614.838,686.504,686.367,793.960
Feira Nova do Maranhão (MA),47.726,52.927,82.182,67.412,65.115
Fernando Falcão (MA),38.217,46.157,46.982,52.509,54.846
Formosa da Serra Negra (MA),102.543,108.304,113.576,130.364,131.833
Fortaleza dos Nogueiras (MA),122.809,126.136,125.562,128.291,141.838
Fortuna (MA),87.269,99.915,89.291,97.851,102.699
Godofredo Viana (MA),132.739,147.847,122.213,68.685,75.766
Gonçalves Dias (MA),82.285,96.628,107.551,111.169,114.542
Governador Archer (MA),48.625,58.287,64.251,71.788,67.241
Governador Edison Lobão (MA),221.052,310.524,272.121,309.553,262.396
Governador Eugênio Barros (MA),70.032,74.407,88.280,93.957,95.062
Governador Luiz Rocha (MA),37.175,40.358,44.583,46.819,50.910
Governador Newton Bello (MA),46.505,45.262,52.381,62.546,60.912
Governador Nunes Freire (MA),154.639,166.049,168.186,188.534,181.561
Graça Aranha (MA),31.417,32.712,36.882,39.114,42.154
Grajaú (MA),480.883,537.013,530.213,571.181,669.769
Guimarães (MA),56.402,61.284,62.826,71.858,81.860
Humberto de Campos (MA),103.936,116.471,119.233,137.047,144.749
Icatu (MA),94.255,110.440,118.202,134.071,133.765
Igarapé do Meio (MA),164.831,119.678,122.983,157.526,159.422
Igarapé Grande (MA),57.979,71.327,71.854,86.374,81.835
Imperatriz (MA),5.071.532,5.741.926,6.010.806,6.977.204,6.609.422
Itaipava do Grajaú (MA),70.736,70.906,64.866,76.743,78.569
Itapecuru Mirim (MA),394.836,463.974,482.128,551.510,594.081
Itinga do Maranhão (MA),193.587,220.161,230.848,270.001,283.493
Jatobá (MA),36.581,48.842,48.820,55.949,59.925
Jenipapo dos Vieiras (MA),66.392,76.935,80.687,87.026,89.203
João Lisboa (MA),136.927,173.203,179.947,201.514,190.145
Joselândia (MA),73.540,88.532,81.379,96.828,97.469
Junco do Maranhão (MA),29.663,30.113,33.135,39.593,42.330
Lago da Pedra (MA),254.077,282.883,325.781,362.458,366.466
Lago do Junco (MA),44.187,52.022,56.901,67.200,65.710
Lago Verde (MA),76.420,84.645,88.235,97.400,99.231
Lagoa do Mato (MA),45.745,60.870,61.006,66.816,75.446
Lago dos Rodrigues (MA),49.179,59.715,59.923,68.917,72.046
Lagoa Grande do Maranhão (MA),62.387,64.206,71.234,68.528,72.172
Lajeado Novo (MA),40.869,48.905,53.484,67.218,70.457
Lima Campos (MA),65.479,72.821,156.075,132.766,150.518
Loreto (MA),130.094,142.560,154.107,116.043,191.936
Luís Domingues (MA),31.729,34.848,33.374,37.812,48.059
Magalhães de Almeida (MA),87.819,103.341,94.846,109.536,115.468
Maracaçumé (MA),104.023,123.837,136.500,155.858,160.111
Marajá do Sena (MA),51.208,50.608,47.346,49.531,50.490
Maranhãozinho (MA),67.798,77.260,81.647,90.160,94.054
Mata Roma (MA),82.724,107.176,103.640,110.046,122.462
Matinha (MA),100.868,119.190,129.416,140.440,155.135
Matões (MA),114.635,137.060,151.744,168.979,174.474
Matões do Norte (MA),54.844,65.965,68.371,80.019,79.297
Milagres do Maranhão (MA),36.764,47.688,43.703,45.480,50.278
Mirador (MA),114.832,136.370,156.196,149.750,179.763
Miranda do Norte (MA),251.009,332.715,462.700,470.001,487.752
Mirinzal (MA),56.916,64.734,77.271,85.265,90.901
Monção (MA),146.662,157.706,168.448,188.452,199.130
Montes Altos (MA),44.586,50.027,53.958,60.034,61.797
Morros (MA),76.106,95.827,96.239,110.899,117.045
Nina Rodrigues (MA),43.500,51.038,53.316,59.734,64.827
Nova Colinas (MA),44.078,45.688,49.458,47.981,55.841
Nova Iorque (MA),23.110,27.409,31.025,32.761,36.821
Nova Olinda do Maranhão (MA),111.643,125.447,121.396,127.573,132.416
Olho d'Água das Cunhãs (MA),105.181,121.956,129.896,144.871,136.943
Olinda Nova do Maranhão (MA),61.015,70.109,75.958,91.439,84.615
Paço do Lumiar (MA),577.554,694.752,715.408,793.261,864.315
Palmeirândia (MA),90.958,104.910,108.542,122.394,124.598
Paraibano (MA),93.677,116.964,130.239,135.583,138.187
Parnarama (MA),145.540,163.595,195.684,190.770,199.564
Passagem Franca (MA),82.398,103.372,109.500,123.300,127.969
Pastos Bons (MA),114.058,152.816,161.158,157.982,190.276
Paulino Neves (MA),63.570,70.424,73.739,99.092,106.005
Paulo Ramos (MA),114.725,130.188,134.938,151.229,145.685
Pedreiras (MA),343.869,411.536,426.639,496.028,562.492
Pedro do Rosário (MA),101.084,117.531,124.442,139.323,131.169
Penalva (MA),133.268,146.410,153.678,168.072,187.584
Peri Mirim (MA),54.562,61.976,64.421,71.696,76.885
Peritoró (MA),115.698,140.073,142.182,169.907,182.687
Pindaré-Mirim (MA),178.341,200.653,372.214,314.266,282.566
Pinheiro (MA),560.518,668.712,680.963,796.279,828.267
Pio XII (MA),107.714,124.587,135.501,159.968,147.358
Pirapemas (MA),72.358,94.160,92.782,110.636,110.406
Poção de Pedras (MA),106.072,124.232,118.846,140.071,135.541
Porto Franco (MA),495.838,413.748,426.117,499.853,470.765
Porto Rico do Maranhão (MA),27.095,31.056,33.940,38.471,41.899
Presidente Dutra (MA),384.182,467.735,452.610,519.290,550.957
Presidente Juscelino (MA),72.309,83.422,81.490,91.862,92.250
Presidente Médici (MA),34.208,37.936,40.755,47.911,47.715
Presidente Sarney (MA),118.089,125.214,125.989,142.663,136.039
Presidente Vargas (MA),46.141,54.205,55.083,57.701,58.277
Primeira Cruz (MA),54.330,62.493,68.025,76.062,75.664
Raposa (MA),179.037,196.914,179.273,210.757,213.007
Riachão (MA),251.429,264.995,267.004,216.189,309.885
Ribamar Fiquene (MA),51.527,54.956,66.202,71.755,77.430
Rosário (MA),218.141,290.933,276.763,306.654,310.641
Sambaíba (MA),184.390,184.388,217.161,88.567,216.552
Santa Filomena do Maranhão (MA),37.283,44.642,40.179,40.929,47.169
Santa Helena (MA),192.086,217.598,222.823,261.400,279.040
Santa Inês (MA),887.122,1.071.450,1.142.442,1.223.196,1.229.422
Santa Luzia (MA),466.942,506.893,466.994,559.546,546.589
Santa Luzia do Paruá (MA),242.749,197.218,210.468,222.390,201.655
Santa Quitéria do Maranhão (MA),117.525,136.992,149.720,168.887,162.900
Santa Rita (MA),161.435,200.996,240.548,267.724,268.458
Santana do Maranhão (MA),45.812,51.844,51.743,57.159,58.103
Santo Amaro do Maranhão (MA),52.859,68.618,65.783,76.872,81.058
Santo Antônio dos Lopes (MA),1.805.433,814.806,921.936,1.276.244,1.613.800
São Benedito do Rio Preto (MA),65.313,87.289,88.553,104.917,111.226
São Bento (MA),179.096,204.817,228.873,437.281,257.121
São Bernardo (MA),202.670,230.865,230.061,263.272,248.031
São Domingos do Azeitão (MA),169.252,155.148,155.677,110.603,173.390
São Domingos do Maranhão (MA),213.510,239.706,267.462,252.237,269.082
São Félix de Balsas (MA),32.058,33.904,36.323,38.941,47.926
São Francisco do Brejão (MA),63.837,74.350,84.776,95.909,95.613
São Francisco do Maranhão (MA),49.074,57.349,58.795,61.615,71.996
São João Batista (MA),89.157,98.722,102.406,115.818,123.443
São João do Carú (MA),76.968,84.124,83.392,90.484,85.452
São João do Paraíso (MA),70.790,83.036,108.561,149.853,116.892
São João do Soter (MA),65.766,78.760,79.645,95.422,94.708
São João dos Patos (MA),176.905,229.986,222.105,256.199,263.222
São José de Ribamar (MA),1.364.988,1.583.683,1.712.555,1.914.649,2.005.253
São José dos Basílios (MA),35.292,44.174,42.025,42.868,52.235
São Luís (MA),23.134.440,27.308.046,26.798.107,28.350.665,29.846.794
São Luís Gonzaga do Maranhão (MA),121.434,138.079,134.251,129.486,126.874
São Mateus do Maranhão (MA),207.011,241.195,264.211,309.701,370.150
São Pedro da Água Branca (MA),71.771,69.903,76.059,89.560,95.127
São Pedro dos Crentes (MA),39.948,45.964,46.755,50.757,51.780
São Raimundo das Mangabeiras (MA),258.214,303.795,352.517,395.668,385.799
São Raimundo do Doca Bezerra (MA),26.724,33.069,32.047,36.779,35.472
São Roberto (MA),28.614,33.351,34.346,38.453,43.145
São Vicente Ferrer (MA),104.997,115.749,114.836,129.701,132.105
Satubinha (MA),45.409,53.462,57.617,65.731,66.342
Senador Alexandre Costa (MA),46.222,61.261,58.882,62.427,74.199
Senador La Rocque (MA),113.834,122.135,124.350,147.948,150.237
Serrano do Maranhão (MA),40.994,51.386,55.541,63.907,67.263
Sítio Novo (MA),91.022,101.624,117.132,135.654,142.734
Sucupira do Norte (MA),51.498,60.190,65.303,64.585,74.318
Sucupira do Riachão (MA),25.215,32.610,35.082,39.319,42.312
Tasso Fragoso (MA),721.635,796.586,725.163,489.842,984.288
Timbiras (MA),103.234,114.838,125.579,138.486,150.305
Timon (MA),1.249.941,1.394.684,1.340.155,1.602.604,1.796.157
Trizidela do Vale (MA),118.577,147.036,147.005,174.197,192.364
Tufilândia (MA),29.728,34.779,37.214,39.929,46.794
Tuntum (MA),213.052,250.545,249.474,278.201,276.483
Turiaçu (MA),244.136,263.803,253.073,291.015,286.312
Turilândia (MA),110.074,132.254,130.669,144.991,156.656
Tutóia (MA),254.590,298.379,320.974,389.837,394.417
Urbano Santos (MA),112.639,145.385,144.365,176.836,181.721
Vargem Grande (MA),222.025,269.691,266.645,283.886,307.783
Viana (MA),281.491,326.604,350.885,403.374,408.001
Vila Nova dos Martírios (MA),64.973,87.085,90.852,218.505,108.215
Vitória do Mearim (MA),175.928,203.131,280.310,283.009,255.535
Vitorino Freire (MA),176.572,186.211,197.841,212.606,224.540
Zé Doca (MA),342.145,378.564,352.275,381.227,386.206
Acauã (PI),31.537,36.802,41.232,45.597,44.378
Agricolândia (PI),21.778,24.521,28.595,29.522,34.199
Água Branca (PI),122.425,140.650,153.600,175.066,183.264
Alagoinha do Piauí (PI),34.261,39.047,45.142,45.849,49.631
Alegrete do Piauí (PI),24.658,29.707,31.921,34.026,33.755
Alto Longá (PI),57.380,68.366,80.266,86.743,89.130
Altos (PI),236.720,291.944,301.871,346.468,372.946
Alvorada do Gurguéia (PI),38.737,56.912,59.401,52.291,73.951
Amarante (PI),91.994,111.663,115.459,124.643,134.528
Angical do Piauí (PI),40.343,45.881,46.636,49.504,55.261
Anísio de Abreu (PI),46.239,56.216,61.666,68.330,66.756
Antônio Almeida (PI),80.090,75.748,52.216,45.895,70.621
Aroazes (PI),31.536,36.358,40.363,43.305,45.273
Aroeiras do Itaim (PI),12.230,14.162,15.389,16.567,17.961
Arraial (PI),22.745,26.160,27.615,32.284,34.282
Assunção do Piauí (PI),33.863,36.693,40.443,43.830,47.388
Avelino Lopes (PI),49.835,57.387,64.253,71.047,77.762
Baixa Grande do Ribeiro (PI),299.600,478.327,559.741,238.070,744.553
Barra D'Alcântara (PI),21.351,24.965,26.182,28.436,32.371
Barras (PI),254.311,280.195,305.949,347.770,369.213
Barreiras do Piauí (PI),17.253,19.613,21.600,23.670,24.224
Barro Duro (PI),43.986,49.092,55.348,56.274,62.050
Batalha (PI),127.212,141.549,149.878,164.715,177.475
Bela Vista do Piauí (PI),21.344,26.303,28.816,28.873,33.124
Belém do Piauí (PI),16.756,19.972,23.263,24.847,26.727
Beneditinos (PI),43.615,52.945,56.545,64.098,69.202
Bertolínia (PI),34.303,42.060,43.610,47.811,53.321
Betânia do Piauí (PI),28.725,32.852,37.858,42.870,43.507
Boa Hora (PI),32.431,38.820,36.735,43.615,45.712
Bocaina (PI),23.683,28.734,32.921,34.753,48.403
Bom Jesus (PI),333.702,505.909,645.002,513.765,873.788
Bom Princípio do Piauí (PI),28.561,34.194,34.667,41.116,49.109
Bonfim do Piauí (PI),24.777,28.892,31.390,35.791,36.671
Boqueirão do Piauí (PI),29.373,31.841,34.808,37.774,40.198
Brasileira (PI),35.402,41.411,42.837,48.181,53.639
Brejo do Piauí (PI),22.246,24.606,27.689,29.541,31.788
Buriti dos Lopes (PI),112.156,126.396,134.746,152.712,157.173
Buriti dos Montes (PI),34.188,39.858,43.296,45.550,51.318
Cabeceiras do Piauí (PI),41.307,47.766,51.235,57.853,59.083
Cajazeiras do Piauí (PI),16.796,20.207,21.680,23.253,25.414
Cajueiro da Praia (PI),53.663,61.758,65.895,74.959,81.551
Caldeirão Grande do Piauí (PI),24.481,39.360,50.876,47.648,45.508
Campinas do Piauí (PI),27.889,33.240,36.644,39.485,42.382
Campo Alegre do Fidalgo (PI),23.224,26.811,29.024,31.649,33.928
Campo Grande do Piauí (PI),30.861,38.071,46.321,50.406,49.787
Campo Largo do Piauí (PI),29.435,32.887,35.680,39.480,41.712
Campo Maior (PI),367.889,438.155,461.048,521.524,544.403
Canavieira (PI),22.399,25.123,26.675,27.033,31.355
Canto do Buriti (PI),136.043,160.531,180.621,203.524,207.518
Capitão de Campos (PI),50.235,59.987,63.986,74.511,82.581
Capitão Gervásio Oliveira (PI),21.382,23.312,24.893,28.161,30.153
Caracol (PI),53.031,59.551,67.306,72.083,69.185
Caraúbas do Piauí (PI),31.167,35.383,37.110,40.489,44.933
Caridade do Piauí (PI),23.938,26.020,30.203,35.510,32.859
Castelo do Piauí (PI),110.671,111.930,134.473,152.654,159.381
Caxingó (PI),30.391,32.554,36.875,41.887,43.692
Cocal (PI),131.491,156.678,170.117,193.152,211.421
Cocal de Telha (PI),26.177,28.956,31.388,34.491,37.510
Cocal dos Alves (PI),26.592,31.002,36.067,40.224,44.452
Coivaras (PI),20.697,23.898,23.642,26.820,29.760
Colônia do Gurguéia (PI),34.431,40.623,42.732,51.395,52.309
Colônia do Piauí (PI),36.346,42.328,48.308,50.068,51.536
Conceição do Canindé (PI),25.084,29.799,34.080,40.923,42.541
Coronel José Dias (PI),22.997,25.324,27.873,30.300,32.213
Corrente (PI),202.936,246.649,274.827,281.189,381.064
Cristalândia do Piauí (PI),39.176,40.716,47.129,48.876,53.740
Cristino Castro (PI),65.330,77.460,81.929,87.077,99.045
Curimatá (PI),70.113,75.759,79.413,84.130,88.835
Currais (PI),60.874,121.888,125.260,59.521,156.454
Curralinhos (PI),16.287,21.847,22.213,24.080,26.143
Curral Novo do Piauí (PI),22.438,24.326,29.980,33.584,302.333
Demerval Lobão (PI),84.313,126.095,130.390,138.989,133.283
Dirceu Arcoverde (PI),29.048,32.043,35.158,39.331,44.231
Dom Expedito Lopes (PI),42.034,49.706,61.115,68.835,66.929
Domingos Mourão (PI),20.263,24.902,26.784,30.397,31.910
Dom Inocêncio (PI),36.986,45.741,49.614,53.101,56.718
Elesbão Veloso (PI),82.379,98.234,108.043,117.091,123.746
Eliseu Martins (PI),28.924,36.406,36.828,40.292,40.847
Esperantina (PI),229.214,264.596,289.597,325.078,338.421
Fartura do Piauí (PI),21.320,24.376,25.267,26.560,27.875
Flores do Piauí (PI),22.511,27.845,31.903,29.925,36.028
Floresta do Piauí (PI),14.464,17.211,17.161,19.233,20.000
Floriano (PI),786.120,911.773,919.600,1.020.575,1.019.440
Francinópolis (PI),24.443,29.815,31.605,33.474,36.158
Francisco Ayres (PI),22.799,28.324,32.771,30.013,36.426
Francisco Macedo (PI),13.395,16.557,19.018,24.129,23.296
Francisco Santos (PI),42.063,51.090,57.247,63.346,62.302
Fronteiras (PI),184.416,235.561,179.371,184.700,146.169
Geminiano (PI),31.838,37.276,41.728,47.421,42.711
Gilbués (PI),95.990,165.204,177.906,113.654,185.881
Guadalupe (PI),230.768,240.707,254.564,429.640,534.632
Guaribas (PI),21.727,25.877,28.906,30.437,30.674
Hugo Napoleão (PI),19.456,23.212,24.073,25.996,26.749
Ilha Grande (PI),50.724,58.690,60.412,66.916,68.249
Inhuma (PI),81.478,94.264,101.962,114.977,122.334
Ipiranga do Piauí (PI),47.743,57.025,59.910,68.371,68.411
Isaías Coelho (PI),37.696,43.450,46.019,49.556,53.763
Itainópolis (PI),55.102,62.023,65.220,77.845,79.806
Itaueira (PI),66.233,80.836,92.186,96.077,109.043
Jacobina do Piauí (PI),30.587,35.060,38.385,38.290,43.091
Jaicós (PI),113.801,124.694,129.899,146.075,160.113
Jardim do Mulato (PI),19.549,22.714,25.265,26.368,29.453
Jatobá do Piauí (PI),27.315,31.165,32.528,34.907,40.038
Jerumenha (PI),29.202,36.963,44.178,40.163,43.378
João Costa (PI),14.860,18.659,19.869,22.886,25.952
Joaquim Pires (PI),60.570,71.230,78.422,87.243,90.565
Joca Marques (PI),22.767,26.674,28.975,32.031,34.501
José de Freitas (PI),235.028,256.455,274.111,296.506,319.692
