UF,Municipio,Regiao,PIB,Ano
CE,Barroquinha,Nordeste,122.903,2020
MG,Bom Jesus do Amparo,Sudeste,,2021
MA,Cidelândia,Nordeste,,2021
RS,Espumoso,Sul,,2021
PE,João Alfredo,Nordeste,317.215,2020
MG,Bocaina de Minas,Sudeste,,2021
BA,Seabra,Nordeste,,2021
CE,Nova Russas,Nordeste,309.710,2020
RS,Chapada,Sul,480.991,2020
PB,Congo,Nordeste,,2021
PI,Santo Antônio de Lisboa,Nordeste,,2021
BA,Banzaê,Nordeste,,2021
BA,Manoel Vitorino,Nordeste,126.941,2020
PE,Santa Cruz,Nordeste,130.968,2020
AM,Guajará,Norte,,2021
BA,Cansanção,Nordeste,,2021
MG,Lagamar,Sudeste,190.828,2020
MG,Serra da Saudade,Sudeste,,2021
SP,Pontalinda,Sudeste,,2021
RS,Paim Filho,Sul,,2021
PE,Paudalho,Nordeste,832.246,2020
BA,Tanquinho,Nordeste,,2021
AM,Barreirinha,Norte,313.543,2020
PB,Santa Inês,Nordeste,,2021
RN,Lagoa de Velhos,Nordeste,36.710,2020
BA,Apuarema,Nordeste,,2021
SP,Arco-Íris,Sudeste,84.063,2020
PR,Santa Lúcia,Sul,,2021
BA,Dom Basílio,Nordeste,,2021
MA,Carolina,Nordeste,493.139,2020
BA,Aracatu,Nordeste,,2021
SP,Taiaçu,Sudeste,100.281,2020
AP,Vitória do Jari,Norte,224.213,2020
BA,Condeúba,Nordeste,165.471,2020
CE,Palmácia,Nordeste,,2021
MG,Fortuna de Minas,Sudeste,44.515,2020
PB,São Miguel de Taipu,Nordeste,78.421,2020
PB,Itabaiana,Nordeste,317.520,2020
BA,Cairu,Nordeste,,2021
AL,Novo Lino,Nordeste,,2021
MA,Brejo de Areia,Nordeste,63.037,2020
MG,Santa Helena de Minas,Sudeste,,2021
PA,Bannach,Norte,,2021
PR,Tuneiras do Oeste,Sul,,2021
BA,Maiquinique,Nordeste,129.189,2020
